LocalStaffId,GivenName,FamilyName,ClassCode,HomeGroup,ASLSchoolId,LocalSchoolId,LocalCampusId,EmailAddress,AdditionalInfo,StaffSchoolRole
25060,Keisha,Phillips,koxem460,qlhjm143,11111,72868,01,keisha0@mailinator.com,N,Principal
68358,Abigail,Caron,heydz488,matja845,11111,72868,01,abigail1@dodgit.com,N,Deputy Principal
80309,Benito,Ramey,pfrqm611,rawvo407,11111,72868,01,benito2@mailinator.com,Y,Teacher
51829,Amado,Wright,ssfha747,xtbts565,11111,72868,01,amado3@dodgit.com,Y,Teacher
25831,Addie,Bodner,ezxwu226,pzjjz201,11111,72868,01,addie4@spambob.com,Y,Teacher
24013,Emil,Dodson,gbjwx994,xfnyg914,11111,72868,01,emil5@mailinator.com,N,Teacher
15394,Reed,Kuhn,wdqhd607,wwagh614,11111,72868,01,reed6@trashymail.com,N,Teacher
28074,Gena,Taylor,fazsg378,qckmu903,11111,72868,01,gena7@mailinator.com,N,Teacher
97406,Grant,Bing,hnrna136,edquc987,11111,72868,01,grant8@spambob.com,Y,Teacher
68438,Jasmine,Simon,wnmte878,pykbs576,11111,72868,01,jasmine9@pookmail.com,Y,Teacher
75612,Danielle,Phillips,navyv646,rvffq808,11111,72868,01,danielle10@mailinator.com,N,Teacher
13798,Crystal,Cortinas,ivjvp733,urdvt348,11111,72868,01,crystal11@trashymail.com,Y,Teacher
26572,Kimberly,Pierre,bxwbh448,bppmg482,11111,72868,01,kimberly12@dodgit.com,Y,Teacher
4786,Betsy,Burger,rpxke947,kslze027,11111,72868,01,betsy13@trashymail.com,Y,Teacher
88333,Errol,Hogue,xzxfg502,vlxpi168,11111,72868,01,errol14@trashymail.com,N,Teacher
49688,Geneva,Pierce,tbvnh925,dufln572,11111,72868,01,geneva15@trashymail.com,N,Teacher
96177,Opal,Etchison,ujfko923,sggkw164,11111,72868,01,opal16@mailinator.com,Y,Teacher
9946,Ada,Goering,arfgs428,wfrld223,11111,72868,01,ada17@pookmail.com,Y,Teacher
53606,Martina,Conner,brqow426,axxzo333,11111,72868,01,martina18@pookmail.com,Y,Teacher
81215,Frederick,Nale,ieirj362,iohiw840,11111,72868,01,frederick19@mailinator.com,N,Teacher
63422,Anthony,Hill,aijts165,tmwam884,11111,72868,01,anthony20@spambob.com,Y,Teacher
40475,Van,Moya,nojit517,epmuf895,11111,72868,01,van21@pookmail.com,N,Teacher
12928,Kirk,Myers,xkvxa655,eliip109,11111,72868,01,kirk22@mailinator.com,N,Teacher
58674,Tomas,Carr,fvdiv534,rrywz974,11111,72868,01,tomas23@trashymail.com,Y,Teacher
26943,Ardis,Fearon,blnej676,skdxk017,11111,72868,01,ardis24@spambob.com,Y,Teacher
81567,George,Holder,euxkz171,ztvoh924,11111,72868,01,george25@dodgit.com,N,Teacher
48730,Lindsey,Scott,uwvvn697,ghflb555,11111,72868,01,lindsey26@spambob.com,Y,Teacher
92924,Cherie,Lee,kjqxl069,esjso984,11111,72868,01,cherie27@dodgit.com,N,Teacher
10456,Coleman,Manzo,wzzxg872,kpilq353,11111,72868,01,coleman28@spambob.com,Y,Teacher
60902,Zula,Parker,shtwx920,xbcho441,11111,72868,01,zula29@trashymail.com,N,Teacher
87523,Brooke,Wroblewski,ljpfs787,kpths919,11111,72868,01,brooke30@pookmail.com,Y,Teacher
24731,Darrell,Oates,mckvu849,dsuht107,11111,72868,01,darrell31@mailinator.com,Y,Teacher
53917,Althea,Smith,lutgb554,lpxrf069,11111,72868,01,althea32@dodgit.com,Y,Teacher
81424,Esperanza,Carr,gkwag399,wtabt912,11111,72868,01,esperanza33@pookmail.com,N,Teacher
91234,Kevin,Naquin,cgmae945,zqaci117,11111,72868,01,kevin34@dodgit.com,N,Teacher
58111,Yvonne,Evans,nbdrq911,akvqd256,11111,72868,01,yvonne35@pookmail.com,N,Teacher
48269,Bennie,Barnes,pjhim931,xxsnf878,11111,72868,01,bennie36@spambob.com,Y,Teacher
16858,Tommy,Crain,kfyfb045,jrfdu500,11111,72868,01,tommy37@trashymail.com,Y,Teacher
80622,Donald,James,ijiyl820,ijugk430,11111,72868,01,donald38@pookmail.com,N,Teacher
90860,Miyoko,Rowan,ghigq745,lsyia115,11111,72868,01,miyoko39@pookmail.com,N,Teacher
75019,Gus,Hicks,pjfhb952,jlhvc100,11111,72868,01,gus40@dodgit.com,N,Teacher
47494,Terry,Greenbaum,iujng464,ukvbc054,11111,72868,01,terry41@dodgit.com,Y,Teacher
57280,Deborah,Hayes,mxsaq101,gltcg846,11111,72868,01,deborah42@mailinator.com,Y,Teacher
89250,Louisa,Martin,udgqh756,vamox081,11111,72868,01,louisa43@mailinator.com,Y,Teacher
38780,Marta,Garcia,pghxi556,rjenu243,11111,72868,01,marta44@dodgit.com,Y,Teacher
43338,Jose,Rodriguez,pcmxz412,zrukq260,11111,72868,01,jose45@trashymail.com,Y,Teacher
93778,Donald,Stewart,qmspt052,kafow159,11111,72868,01,donald46@pookmail.com,N,Teacher
94498,Jena,Wallace,fixgw394,xiuud281,11111,72868,01,jena47@trashymail.com,N,Teacher
85316,Angela,Gonzalez,cpzan401,rjahj934,11111,72868,01,angela48@trashymail.com,Y,Teacher
44335,Mickey,Collins,figix691,ouuck808,11111,72868,01,mickey49@dodgit.com,Y,Teacher
13818,Clara,Hopwood,trjzl447,oltzt806,11111,72868,01,clara50@mailinator.com,Y,Teacher
76021,Lakendra,Payne,nhgrq156,sbyrq272,11111,72868,01,lakendra51@trashymail.com,N,Teacher
96248,Joe,Collins,xguei378,jdalu186,11111,72868,01,joe52@pookmail.com,N,Teacher
36832,Claudette,Krebs,cbhgt283,wksry951,11111,72868,01,claudette53@mailinator.com,N,Teacher
21385,Earlene,Lott,uguxg656,lwqvz578,11111,72868,01,earlene54@spambob.com,N,Teacher
17525,Elda,Baughman,ldzil436,lxdbz790,11111,72868,01,elda55@mailinator.com,Y,Teacher
49266,Juli,Fuentes,zelct764,rgdtl297,11111,72868,01,juli56@dodgit.com,Y,Teacher
75601,Leroy,Knorr,tymiy316,cpxbj962,11111,72868,01,leroy57@trashymail.com,Y,Teacher
82583,Hugh,Garcia,hykle316,bfizd687,11111,72868,01,hugh58@dodgit.com,N,Teacher
25212,Penny,Gagnon,ezpde660,ulljf926,11111,72868,01,penny59@trashymail.com,N,Teacher
92669,Dane,Hatcher,tzjjc578,akhny985,11111,72868,01,dane60@mailinator.com,Y,Teacher
89257,Charles,Ventimiglia,ymfgq766,osyzw446,11111,72868,01,charles61@dodgit.com,N,Teacher
6986,Mauricio,Needham,qnpct822,rnarv096,11111,72868,01,mauricio62@dodgit.com,N,Teacher
59807,Amina,Buske,mnimt857,hmopf806,11111,72868,01,amina63@spambob.com,Y,Teacher
96470,Alberto,Fann,fzpqz260,iyahe730,11111,72868,01,alberto64@pookmail.com,Y,Teacher
98653,Lamont,Craig,zjtsd921,evlbw043,11111,72868,01,lamont65@trashymail.com,N,Teacher
65560,Carrol,Moore,leqpt616,ezfxg453,11111,72868,01,carrol66@trashymail.com,Y,Teacher
2898,Jeramy,Hogue,zrfvz231,nmhve672,11111,72868,01,jeramy67@pookmail.com,N,Teacher
49590,Tom,Thomas,vszyb278,pprci122,11111,72868,01,tom68@spambob.com,Y,Teacher
81209,Zachary,Smith,taivq286,kmyqh406,11111,72868,01,zachary69@pookmail.com,N,Teacher
21635,Mamie,Darrah,dnffv770,oysxe767,11111,72868,01,mamie70@mailinator.com,N,Teacher
8802,Olen,Chamber,kshjo923,uotds589,11111,72868,01,olen71@mailinator.com,Y,Teacher
78555,Wade,Cormack,hzulk139,twfuv082,11111,72868,01,wade72@dodgit.com,Y,Teacher
34539,Nathan,Brown,gegsp944,jlkvd077,11111,72868,01,nathan73@trashymail.com,Y,Teacher
62793,Pablo,Johnson,tmadb717,pwfya186,11111,72868,01,pablo74@trashymail.com,N,Teacher
50000,Briana,Burns,bccwj283,yxtdd246,11111,72868,01,briana75@pookmail.com,Y,Teacher
55184,Ilse,Champagne,axxnt307,pezbi192,11111,72868,01,ilse76@spambob.com,Y,Teacher
35666,Raquel,Gonzales,fymeh330,ifzrp895,11111,72868,01,raquel77@trashymail.com,N,Teacher
86919,Erik,Peterson,slaul942,ftmvq955,11111,72868,01,erik78@trashymail.com,N,Teacher
37874,Alissa,Hancock,fdqtv023,ghzuf356,11111,72868,01,alissa79@spambob.com,N,Teacher
19157,Victor,Brady,uvqwd518,aseqb584,11111,72868,01,victor80@pookmail.com,Y,Teacher
68450,Latasha,Hutchison,udhav743,kwqpl807,11111,72868,01,latasha81@mailinator.com,Y,Teacher
26344,Dominick,Marquez,lsgsm489,gdxzp155,11111,72868,01,dominick82@mailinator.com,N,Teacher
71317,Jack,Vasquez,rsgqf607,rwctx669,11111,72868,01,jack83@trashymail.com,N,Teacher
67915,Junior,Collins,zgtzm503,yrjxv179,11111,72868,01,junior84@pookmail.com,N,Teacher
50292,Gabriel,Peterson,hbmvb375,kcebr652,11111,72868,01,gabriel85@pookmail.com,Y,Teacher
24330,Chasity,Fisk,txdml082,ftatw079,11111,72868,01,chasity86@spambob.com,N,Teacher
3980,Rosaura,Rowland,hrhwk972,fsnmu950,11111,72868,01,rosaura87@spambob.com,Y,Teacher
35344,Milton,Krebs,zhzcr767,brbul231,11111,72868,01,milton88@mailinator.com,Y,Teacher
92811,Arline,Allen,slhcg149,mxeix231,11111,72868,01,arline89@trashymail.com,Y,Teacher
27843,Vincent,Burger,naghj883,vbguq252,11111,72868,01,vincent90@dodgit.com,N,Teacher
18420,Almeta,Nielson,bzyqc547,xwatm096,11111,72868,01,almeta91@trashymail.com,Y,Teacher
4712,Palmer,Delvecchio,pmsji922,tyxgh724,11111,72868,01,palmer92@mailinator.com,Y,Teacher
40537,Wilbur,Barnes,qnslr287,pmdzi064,11111,72868,01,wilbur93@spambob.com,Y,Teacher
64365,Beth,Jordan,ewrpi422,raymm931,11111,72868,01,beth94@dodgit.com,N,Teacher
87696,Sheree,Parker,acrnl377,ntibw651,11111,72868,01,sheree95@dodgit.com,Y,Teacher
87257,Jazmine,Goering,ltekb129,rfang563,11111,72868,01,jazmine96@mailinator.com,N,Teacher
58719,Vera,Wenzel,vhuvk106,shbas571,11111,72868,01,vera97@dodgit.com,N,Teacher
11399,Retha,Laws,rtmnh940,rnydf210,11111,72868,01,retha98@dodgit.com,N,Teacher
29888,Jackie,Garcia,ixjzj656,xjela521,11111,72868,01,jackie99@pookmail.com,N,Teacher
86831,Vance,Spencer,jkbuu654,ychav361,11111,72868,01,vance100@mailinator.com,N,Teacher
72621,Dale,Griffin,ddydl651,mswkq693,11111,72868,01,dale101@pookmail.com,Y,Teacher
83898,Rita,Williams,prgpb710,lmlll852,11111,72868,01,rita102@pookmail.com,Y,Teacher
40914,Dot,Caron,ofgnf373,psaoz396,11111,72868,01,dot103@mailinator.com,N,Teacher
78872,Mickie,Winer,xicvc356,wydpj725,11111,72868,01,mickie104@mailinator.com,N,Teacher
24198,Cheryl,Hallock,ogoig458,izndm260,11111,72868,01,cheryl105@dodgit.com,Y,Teacher
16785,Eli,Shaw,ldwlw049,ejrdg597,11111,72868,01,eli106@dodgit.com,N,Teacher
43545,Randall,Hallett,buwdr433,awbcb273,11111,72868,01,randall107@trashymail.com,N,Teacher
945,Earline,Castillo,zxcxb077,rvadf038,11111,72868,01,earline108@trashymail.com,Y,Teacher
90684,Erica,Wallace,bqzru283,fwcfy031,11111,72868,01,erica109@pookmail.com,Y,Teacher
64131,Rhett,Cantu,oueav872,ajagc985,11111,72868,01,rhett110@trashymail.com,Y,Teacher
50828,Paula,Connelly,zbiyv567,idahj781,11111,72868,01,paula111@pookmail.com,Y,Teacher
48636,Amparo,Bubb,fjttt358,skkpk248,11111,72868,01,amparo112@trashymail.com,N,Teacher
42752,Suzan,Martinez,cstxp185,azduv023,11111,72868,01,suzan113@pookmail.com,N,Teacher
57371,Jasper,Goodwyn,spaxq612,mmltc903,11111,72868,01,jasper114@pookmail.com,N,Teacher
62156,Van,Booker,nogpa666,oftoh459,11111,72868,01,van115@pookmail.com,N,Teacher
12674,Gail,Prout,whvah318,ncknc585,11111,72868,01,gail116@mailinator.com,N,Teacher
